,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,year
86,SI,2022-10-02,91.7,2.76,6.02,"Ray, Robbie",676391,592662,field_out,hit_into_play,,,,,5.0,Ernie Clement flies out to center fielder Jarred Kelenic.,R,R,L,SEA,OAK,X,8.0,fly_ball,1,0,2022,1.13,0.99,-0.04,2.63,,,,0,4,Top,147.43,44.85,,,620443,,,-9.56274653075025,-133.2048152810153,-4.911261475215187,15.391459151576337,25.779648235275356,-19.53174623524829,3.37,1.57,384.0,98.3,29.0,92.4,2107.0,6.6,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,53.93,0.354,0.616,0.0,1.0,0.0,0.0,6.0,28,2,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,149.0,0.012,-0.255,2022
87,FF,2022-10-02,93.4,2.87,6.12,"Ray, Robbie",676391,592662,,ball,,,,,12.0,Ernie Clement flies out to center fielder Jarred Kelenic.,R,R,L,SEA,OAK,B,,,0,0,2022,0.53,1.36,1.12,2.56,,,,0,4,Top,,,,,620443,,,-5.699939018770838,-135.79738013865338,-6.462293435652989,7.746197096912417,28.145207522275125,-14.112594380456308,3.44,1.6,,,,94.0,2231.0,6.5,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,53.96,,,,,,,,28,1,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,146.0,0.0,0.033,2022
88,SL,2022-10-02,87.4,2.83,6.15,"Ray, Robbie",665506,592662,home_run,hit_into_play,,,,,4.0,Cristian Pache homers (3) on a fly ball to left center field.   Jonah Bride scores.,R,R,L,SEA,OAK,X,,fly_ball,0,1,2022,-0.08,1.05,-0.52,2.35,,,681146.0,0,4,Top,51.11,66.49,,,620443,,,-7.952938958670985,-127.0704120316701,-5.2604830094896045,0.5745176513304765,23.04337005209923,-19.9346815064665,3.38,1.59,376.0,97.4,34.0,88.2,2367.0,6.6,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,53.9,0.186,0.363,2.0,1.0,0.0,3.0,5.0,27,2,Slider,0,1,1,0,3,0,3,0,Standard,Standard,161.0,-0.16,1.653,2022
89,SL,2022-10-02,85.3,2.95,6.16,"Ray, Robbie",665506,592662,,foul_bunt,,,,,11.0,Cristian Pache homers (3) on a fly ball to left center field.   Jonah Bride scores.,R,R,L,SEA,OAK,S,,,0,0,2022,-0.42,0.56,-0.22,3.66,,,681146.0,0,4,Top,,,,,620443,,,-6.641961484828046,-124.29322331750204,-0.7934357953449368,-3.2232041366352626,21.375112905716545,-26.39856292213697,3.38,1.59,2.0,,,86.2,2380.0,6.5,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,54.0,,,,,,,,27,1,Slider,0,1,1,0,1,0,1,0,Standard,Standard,163.0,0.0,-0.066,2022
90,FF,2022-10-02,92.1,2.82,6.25,"Ray, Robbie",681146,592662,field_error,hit_into_play,,,,,12.0,Jonah Bride reaches on a throwing error by third baseman Abraham Toro.,R,R,L,SEA,OAK,X,5.0,ground_ball,0,0,2022,0.5,1.5,0.0,3.35,,,,0,4,Top,95.75,161.21,,,620443,,,-8.242284060064815,-133.95296801846607,-4.81765450308818,7.7190768437002415,26.534653780366057,-13.180509256661528,3.19,1.51,47.0,97.3,-1.0,92.4,2278.0,6.3,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,54.19,0.346,0.321,0.9,1.0,0.0,0.0,2.0,26,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,149.0,-0.035,0.433,2022
91,SI,2022-10-02,90.8,2.81,6.04,"Ray, Robbie",669127,592662,home_run,hit_into_play,,,,,5.0,Shea Langeliers homers (5) on a fly ball to left field.,R,R,L,SEA,OAK,X,,fly_ball,0,0,2022,1.2,0.89,-0.17,2.41,,,,0,4,Top,33.04,54.49,,,620443,,,-10.050704786538152,-131.87670185224488,-5.140143083661228,16.009670801750843,25.203322269455292,-20.82635764691436,3.26,1.52,423.0,107.0,31.0,91.3,2189.0,6.5,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,54.01,0.894,1.864,2.0,1.0,0.0,3.0,6.0,25,1,Sinker,0,0,0,0,1,0,1,0,Standard,Standard,142.0,-0.129,1.0,2022
92,SL,2022-10-02,87.9,2.73,6.28,"Ray, Robbie",664913,592662,field_out,hit_into_play,,,,,14.0,Seth Brown pops out to third baseman Abraham Toro.,R,L,L,SEA,OAK,X,5.0,popup,0,0,2022,-0.09,0.84,0.86,2.45,,672478.0,,2,3,Top,95.24,156.65,,,620443,,,-4.359071247076463,-128.04417099216977,-5.000770173576987,-0.2607934112202839,22.47864902974557,-22.141298238431816,3.51,1.72,143.0,70.8,62.0,88.6,2225.0,6.4,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,54.14,0.011,0.01,0.0,1.0,0.0,0.0,3.0,20,1,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,145.0,0.037,-0.312,2022
93,SL,2022-10-02,87.5,2.65,6.21,"Ray, Robbie",660650,592662,strikeout,swinging_strike,,,,,7.0,Dermis Garcia strikes out swinging.,R,R,L,SEA,OAK,S,2.0,,0,2,2022,-0.03,0.69,-0.29,2.19,,672478.0,,1,3,Top,,,,,620443,,,-7.061718085196788,-127.33126702285244,-5.0880540952337405,0.8933600473289542,22.152509035854585,-23.8565110433916,3.67,1.83,,,,88.5,2244.0,6.5,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,53.95,,,0.0,1.0,0.0,0.0,,19,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,157.0,0.039,-0.238,2022
94,SI,2022-10-02,92.2,2.94,5.92,"Ray, Robbie",660650,592662,,foul,,,,,14.0,Dermis Garcia strikes out swinging.,R,R,L,SEA,OAK,S,,,0,2,2022,1.18,0.94,0.19,1.19,,672478.0,,1,3,Top,,,,,620443,,,-9.620449651130928,-133.77934732823002,-8.32273285129795,16.161831821713843,25.28947499643421,-19.29047620750327,3.67,1.83,,,,93.2,2306.0,6.7,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,53.76,,,,,,,,19,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,143.0,0.0,0.0,2022
95,SI,2022-10-02,91.5,2.93,5.93,"Ray, Robbie",660650,592662,,swinging_strike,,,,,14.0,Dermis Garcia strikes out swinging.,R,R,L,SEA,OAK,S,,,0,1,2022,1.36,0.92,1.0,2.02,,672478.0,,1,3,Top,,,,,620443,,,-7.844018837375633,-133.04598946689185,-6.034427632976064,17.815677547804057,27.015744509341108,-20.12346935705921,3.67,1.83,,,,92.3,2221.0,6.7,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,53.81,,,,,,,,19,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,138.0,0.0,-0.071,2022
96,SI,2022-10-02,92.3,2.96,5.99,"Ray, Robbie",660650,592662,,called_strike,,,,,9.0,Dermis Garcia strikes out swinging.,R,R,L,SEA,OAK,S,,,0,0,2022,1.34,0.99,0.76,1.87,,672478.0,,1,3,Top,,,,,620443,,,-8.547591266254619,-134.0588382679198,-6.872004128377818,17.946090901838993,27.251250066346795,-18.86391669476916,3.6,1.89,,,,93.0,2164.0,6.7,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,53.84,,,,,,,,19,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,136.0,0.0,-0.043,2022
97,SI,2022-10-02,92.7,3.17,5.94,"Ray, Robbie",640461,592662,strikeout,foul_tip,,,,,5.0,Chad Pinder strikes out on a foul tip.,R,R,L,SEA,OAK,S,2.0,,2,2,2022,1.27,1.02,0.12,2.23,,672478.0,,0,3,Top,,,,,620443,,,-10.637838739727838,-134.6186123745723,-5.9916168158721925,17.612434714344708,26.436616513023488,-18.609315934856337,3.34,1.61,,,,93.6,2266.0,6.7,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,53.75,,,0.0,1.0,0.0,0.0,,18,5,Sinker,0,0,0,0,0,0,0,0,Infield shift,Standard,138.0,0.047,-0.36,2022
98,SI,2022-10-02,92.9,2.95,5.98,"Ray, Robbie",640461,592662,,blocked_ball,,,,,13.0,Chad Pinder strikes out on a foul tip.,R,R,L,SEA,OAK,B,,,1,2,2022,1.21,0.99,-0.4,0.79,,672478.0,,0,3,Top,,,,,620443,,,-11.262282568087626,-134.54856844922335,-9.720382309846013,16.992260863058878,26.9923461565213,-18.16974407362399,3.23,1.5,,,,93.6,2239.0,6.8,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,53.74,,,,,,,,18,4,Sinker,0,0,0,0,0,0,0,0,Infield shift,Standard,142.0,0.0,0.045,2022
99,SL,2022-10-02,87.0,2.77,6.21,"Ray, Robbie",640461,592662,,ball,,,,,13.0,Chad Pinder strikes out on a foul tip.,R,R,L,SEA,OAK,B,,,0,2,2022,-0.23,0.68,-1.54,1.49,,672478.0,,0,3,Top,,,,,620443,,,-9.864271373911272,-126.32460355449798,-6.595273809628647,-0.7798777292053547,22.49685361374908,-23.728694478285018,3.17,1.43,,,,87.6,2337.0,6.5,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,53.97,,,,,,,,18,3,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,151.0,0.0,0.034,2022
100,SI,2022-10-02,92.9,2.96,6.02,"Ray, Robbie",640461,592662,,foul_tip,,,,,6.0,Chad Pinder strikes out on a foul tip.,R,R,L,SEA,OAK,S,,,0,1,2022,1.21,1.0,0.59,2.18,,672478.0,,0,3,Top,,,,,620443,,,-8.76890146721773,-134.95360036568965,-6.263803436914037,16.712578414480905,27.89946338821529,-18.744425884175858,3.34,1.61,,,,93.4,2187.0,6.6,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,53.95,,,,,,,,18,2,Sinker,0,0,0,0,0,0,0,0,Infield shift,Standard,142.0,0.0,-0.076,2022
101,SI,2022-10-02,91.5,2.86,6.05,"Ray, Robbie",640461,592662,,foul_tip,,,,,3.0,Chad Pinder strikes out on a foul tip.,R,R,L,SEA,OAK,S,,,0,0,2022,1.27,1.02,0.51,2.9,,672478.0,,0,3,Top,,,,,620443,,,-8.697351822554806,-133.0174322216174,-4.335244500583309,16.824297239039566,25.88503989604858,-19.281384832604974,3.34,1.61,,,,92.2,2195.0,6.6,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,53.93,,,,,,,,18,1,Sinker,0,0,0,0,0,0,0,0,Infield shift,Standard,144.0,0.0,-0.056,2022
